hook_name,impact_score
blocks.20.hook_mlp_out,1.9073486328125e-06
blocks.0.hook_mlp_out,9.5367431640625e-07
blocks.0.hook_resid_post,9.5367431640625e-07
blocks.1.hook_resid_post,9.5367431640625e-07
blocks.2.hook_mlp_out,9.5367431640625e-07
blocks.3.attn.hook_z,9.5367431640625e-07
blocks.3.hook_mlp_out,9.5367431640625e-07
blocks.4.attn.hook_z,9.5367431640625e-07
blocks.5.hook_mlp_out,9.5367431640625e-07
blocks.6.hook_mlp_out,9.5367431640625e-07
blocks.7.attn.hook_z,9.5367431640625e-07
blocks.7.hook_resid_post,9.5367431640625e-07
blocks.8.hook_mlp_out,9.5367431640625e-07
blocks.8.hook_resid_post,9.5367431640625e-07
blocks.9.hook_mlp_out,9.5367431640625e-07
blocks.10.hook_mlp_out,9.5367431640625e-07
blocks.10.hook_resid_post,9.5367431640625e-07
blocks.11.hook_mlp_out,9.5367431640625e-07
blocks.12.hook_mlp_out,9.5367431640625e-07
blocks.12.hook_resid_post,9.5367431640625e-07
blocks.13.hook_resid_post,9.5367431640625e-07
blocks.14.hook_mlp_out,9.5367431640625e-07
blocks.15.hook_mlp_out,9.5367431640625e-07
blocks.15.hook_resid_post,9.5367431640625e-07
blocks.16.hook_mlp_out,9.5367431640625e-07
blocks.17.attn.hook_z,9.5367431640625e-07
blocks.17.hook_mlp_out,9.5367431640625e-07
blocks.17.hook_resid_post,9.5367431640625e-07
blocks.18.hook_mlp_out,9.5367431640625e-07
blocks.19.attn.hook_z,9.5367431640625e-07
blocks.20.hook_resid_post,9.5367431640625e-07
blocks.21.hook_mlp_out,9.5367431640625e-07
blocks.21.hook_resid_post,9.5367431640625e-07
blocks.22.hook_mlp_out,9.5367431640625e-07
blocks.22.hook_resid_post,9.5367431640625e-07
blocks.23.attn.hook_z,9.5367431640625e-07
blocks.23.hook_resid_post,9.5367431640625e-07
blocks.0.attn.hook_z,0.0
blocks.1.attn.hook_z,0.0
blocks.1.hook_mlp_out,0.0
blocks.2.attn.hook_z,0.0
blocks.2.hook_resid_post,0.0
blocks.3.hook_resid_post,0.0
blocks.4.hook_mlp_out,0.0
blocks.4.hook_resid_post,0.0
blocks.5.attn.hook_z,0.0
blocks.5.hook_resid_post,0.0
blocks.6.attn.hook_z,0.0
blocks.6.hook_resid_post,0.0
blocks.7.hook_mlp_out,0.0
blocks.8.attn.hook_z,0.0
blocks.9.attn.hook_z,0.0
blocks.9.hook_resid_post,0.0
blocks.10.attn.hook_z,0.0
blocks.11.attn.hook_z,0.0
blocks.11.hook_resid_post,0.0
blocks.12.attn.hook_z,0.0
blocks.13.attn.hook_z,0.0
blocks.13.hook_mlp_out,0.0
blocks.14.attn.hook_z,0.0
blocks.14.hook_resid_post,0.0
blocks.15.attn.hook_z,0.0
blocks.16.attn.hook_z,0.0
blocks.16.hook_resid_post,0.0
blocks.18.attn.hook_z,0.0
blocks.18.hook_resid_post,0.0
blocks.19.hook_mlp_out,0.0
blocks.19.hook_resid_post,0.0
blocks.20.attn.hook_z,0.0
blocks.21.attn.hook_z,0.0
blocks.22.attn.hook_z,0.0
blocks.23.hook_mlp_out,0.0
