hook_name,impact_score
blocks.6.attn.hook_z,2.4556356947869062e-11
blocks.0.hook_resid_post,2.2282620193436742e-11
blocks.8.hook_mlp_out,1.9099388737231493e-11
blocks.16.hook_resid_post,1.8189894035458565e-11
blocks.5.hook_resid_post,1.77351466845721e-11
blocks.2.attn.hook_z,1.6370904631912708e-11
blocks.7.attn.hook_z,1.5916157281026244e-11
blocks.17.hook_mlp_out,1.5916157281026244e-11
blocks.14.attn.hook_z,1.546140993013978e-11
blocks.13.hook_mlp_out,1.5006662579253316e-11
blocks.6.hook_mlp_out,1.4097167877480388e-11
blocks.18.hook_resid_post,1.4097167877480388e-11
blocks.1.hook_resid_post,1.3642420526593924e-11
blocks.16.attn.hook_z,1.3642420526593924e-11
blocks.14.hook_mlp_out,1.2732925824820995e-11
blocks.8.hook_resid_post,1.2278178473934531e-11
blocks.15.attn.hook_z,1.1368683772161603e-11
blocks.17.attn.hook_z,1.1368683772161603e-11
blocks.5.hook_mlp_out,1.0913936421275139e-11
blocks.8.attn.hook_z,1.0459189070388675e-11
blocks.12.hook_resid_post,1.0459189070388675e-11
blocks.4.hook_resid_post,1.000444171950221e-11
blocks.11.hook_resid_post,1.000444171950221e-11
blocks.17.hook_resid_post,1.000444171950221e-11
blocks.22.hook_mlp_out,1.000444171950221e-11
blocks.9.attn.hook_z,7.73070496506989e-12
blocks.9.hook_mlp_out,7.73070496506989e-12
blocks.12.attn.hook_z,7.73070496506989e-12
blocks.20.attn.hook_z,7.73070496506989e-12
blocks.1.hook_mlp_out,6.821210263296962e-12
blocks.3.attn.hook_z,6.821210263296962e-12
blocks.4.attn.hook_z,6.821210263296962e-12
blocks.6.hook_resid_post,6.821210263296962e-12
blocks.10.hook_mlp_out,6.821210263296962e-12
blocks.13.hook_resid_post,6.821210263296962e-12
blocks.14.hook_resid_post,6.821210263296962e-12
blocks.9.hook_resid_post,6.366462912410498e-12
blocks.19.hook_resid_post,6.366462912410498e-12
blocks.21.attn.hook_z,6.366462912410498e-12
blocks.2.hook_resid_post,5.9117155615240335e-12
blocks.20.hook_resid_post,5.9117155615240335e-12
blocks.22.hook_resid_post,5.9117155615240335e-12
blocks.21.hook_mlp_out,5.4569682106375694e-12
blocks.22.attn.hook_z,5.4569682106375694e-12
blocks.23.hook_mlp_out,5.4569682106375694e-12
blocks.11.attn.hook_z,5.002220859751105e-12
blocks.13.attn.hook_z,4.547473508864641e-12
blocks.15.hook_resid_post,4.092726157978177e-12
blocks.3.hook_resid_post,3.637978807091713e-12
blocks.18.hook_mlp_out,3.637978807091713e-12
blocks.10.attn.hook_z,3.183231456205249e-12
blocks.12.hook_mlp_out,3.183231456205249e-12
blocks.20.hook_mlp_out,3.183231456205249e-12
blocks.7.hook_resid_post,2.7284841053187847e-12
blocks.11.hook_mlp_out,2.7284841053187847e-12
blocks.0.hook_mlp_out,2.2737367544323206e-12
blocks.10.hook_resid_post,2.2737367544323206e-12
blocks.7.hook_mlp_out,1.8189894035458565e-12
blocks.19.hook_mlp_out,1.8189894035458565e-12
blocks.23.attn.hook_z,1.8189894035458565e-12
blocks.1.attn.hook_z,1.3642420526593924e-12
blocks.3.hook_mlp_out,1.3642420526593924e-12
blocks.16.hook_mlp_out,1.3642420526593924e-12
blocks.2.hook_mlp_out,9.094947017729282e-13
blocks.4.hook_mlp_out,9.094947017729282e-13
blocks.18.attn.hook_z,9.094947017729282e-13
blocks.23.hook_resid_post,9.094947017729282e-13
blocks.5.attn.hook_z,4.547473508864641e-13
blocks.0.attn.hook_z,0.0
blocks.15.hook_mlp_out,0.0
blocks.19.attn.hook_z,0.0
blocks.21.hook_resid_post,0.0
